Quansheng UV-K1 factory firmware — function map
================================================================================

Address          Name                                               Description
------------------------------------------------------------------------------------------------------------------------
BK4829_SetDTMFToneFreqs BK4829_Configure_BK4829_SetDTMFToneFreqs           BK4829 multi-register configuration (8 writes)
BK4829_SetupAM   BK4829_MultiConfig_BK4829_SetupAM                  Multi-register BK4829 config (5 writes)
BK4829_SetupTX   BK4829_SetTone_2                                   Configure tone generator (REG_70/71/72)
BK4829_SetupFM   BK4829_MultiConfig_BK4829_SetupFM                  Multi-register BK4829 config (5 writes)
BK4829_DisableDTMF BK4829_SetDTMF_ENABLE                              Set register DTMF_ENABLE (0x24)
BK4829_Init      BK4829_SetupAGC                                    Configure AGC gain table (REG_10-14, REG_49)
BK4829_SetFilterBandwidth BK4829_SetIF_BW                                    Set register IF_BW (0x43)
BK4829_SetFrequency BK4829_SetFreqRegisters                            Write frequency to REG_FREQ_LOW/HIGH (0x38/39)
BK4829_SetToneFrequency BK4829_SetTX_TONE                                  Set register TX_TONE (0x36)
BK4829_PLLCalibration BK4829_SetTone_4                                   Configure tone generator (REG_70/71/72)
BK4829_EnableDTMF function_BK4829_EnableDTMF                         Unidentified (4 lines, 0 calls)
BK4829_WriteRegister function_BK4829_WriteRegister                      Unidentified (17 lines, 7 calls)
BK4829_ReadRegister function_BK4829_ReadRegister                       Unidentified (36 lines, 12 calls)
BK4829_SwitchJumpTable function_BK4829_SwitchJumpTable                    Unidentified (3 lines, 0 calls)
0x8006ea0        function_8006ea0                                   Unidentified (27 lines, 6 calls)
0x8006f54        function_8006f54                                   Unidentified (15 lines, 3 calls)
0x8006fc4        function_8006fc4                                   Unidentified (48 lines, 13 calls)
0x8007138        function_8007138                                   Unidentified (279 lines, 14 calls)
0x800747c        function_800747c                                   Unidentified (244 lines, 26 calls)
0x80079c8        function_80079c8                                   Unidentified (10 lines, 4 calls)
0x8007a1c        function_8007a1c                                   Unidentified (106 lines, 1 calls)
0x8007ab8        function_8007ab8                                   Unidentified (28 lines, 2 calls)
0x8007b6c        function_8007b6c                                   Unidentified (80 lines, 9 calls)
0x8007d34        function_8007d34                                   Unidentified (5 lines, 2 calls)
0x8007d70        handler_8007d70                                    Event/state handler with switch
0x8007e34        function_8007e34                                   Unidentified (7 lines, 4 calls)
0x8007e7c        function_8007e7c                                   Unidentified (80 lines, 13 calls)
0x8008064        function_8008064                                   Unidentified (4 lines, 3 calls)
0x8008090        function_8008090                                   Unidentified (24 lines, 3 calls)
0x80080f0        handler_80080f0                                    Event/state handler with switch
0x8008180        function_8008180                                   Unidentified (9 lines, 4 calls)
0x80081a8        function_80081a8                                   Unidentified (22 lines, 3 calls)
0x8008200        function_8008200                                   Unidentified (44 lines, 2 calls)
0x800828c        function_800828c                                   Unidentified (28 lines, 2 calls)
0x8008698        function_8008698                                   Unidentified (12 lines, 6 calls)
0x80086dc        function_80086dc                                   Unidentified (27 lines, 4 calls)
0x8008760        function_8008760                                   Unidentified (25 lines, 3 calls)
0x80087dc        function_80087dc                                   Unidentified (48 lines, 9 calls)
0x80088e4        function_80088e4                                   Unidentified (33 lines, 1 calls)
0x8008968        function_8008968                                   Unidentified (31 lines, 9 calls)
0x80089fc        function_80089fc                                   Unidentified (17 lines, 4 calls)
0x8008a60        function_8008a60                                   Unidentified (4 lines, 3 calls)
0x8008a6c        function_8008a6c                                   Unidentified (25 lines, 1 calls)
0x8008afc        SM_8008afc                                         State machine (3 switch statements)
0x8008dc0        SM_8008dc0                                         State machine (2 switch statements)
0x8008f3c        function_8008f3c                                   Unidentified (6 lines, 4 calls)
0x8008f50        wrap_BK4829_SetupRX                                Wrapper around BK4829_SetupRX
0x8008f6c        function_8008f6c                                   Unidentified (67 lines, 7 calls)
0x8009074        function_8009074                                   Unidentified (92 lines, 6 calls)
0x8009164        wrap_BK4829_MultiConfig_80021a8                    Wrapper around BK4829_MultiConfig_80021a8
0x80091ec        handler_80091ec                                    Event/state handler with switch
0x8009440        function_8009440                                   Unidentified (42 lines, 13 calls)
0x80094e0        function_80094e0                                   Unidentified (11 lines, 5 calls)
0x800952c        function_800952c                                   Unidentified (6 lines, 1 calls)
0x8009544        handler_8009544                                    Event/state handler with switch
0x8009644        handler_8009644                                    Event/state handler with switch
0x80096a4        function_80096a4                                   Unidentified (28 lines, 1 calls)
0x80096f4        function_80096f4                                   Unidentified (45 lines, 10 calls)
0x80097c0        function_80097c0                                   Unidentified (25 lines, 2 calls)
0x8009828        function_8009828                                   Unidentified (29 lines, 2 calls)
0x8009878        function_8009878                                   Unidentified (43 lines, 9 calls)
0x8009938        function_8009938                                   Unidentified (16 lines, 1 calls)
0x8009964        function_8009964                                   Unidentified (13 lines, 3 calls)
0x80099a4        function_80099a4                                   Unidentified (45 lines, 4 calls)
0x80099f0        function_80099f0                                   Unidentified (88 lines, 12 calls)
0x8009ad4        function_8009ad4                                   Unidentified (8 lines, 2 calls)
0x8009b1c        SM_8009b1c                                         State machine (2 switch statements)
0x8009c48        function_8009c48                                   Unidentified (126 lines, 14 calls)
0x8009e3c        SM_8009e3c                                         State machine (2 switch statements)
0x800a0dc        function_800a0dc                                   Unidentified (84 lines, 15 calls)
0x800a248        SM_800a248                                         State machine (6 switch statements)
0x800a95c        function_800a95c                                   Unidentified (33 lines, 12 calls)
0x800b0dc        function_800b0dc                                   Unidentified (18 lines, 7 calls)
0x800b15c        handler_800b15c                                    Event/state handler with switch
0x800b258        function_800b258                                   Unidentified (62 lines, 17 calls)
0x800b3e8        function_800b3e8                                   Unidentified (31 lines, 5 calls)
0x800b4fc        function_800b4fc                                   Unidentified (16 lines, 1 calls)
0x800b538        function_800b538                                   Unidentified (30 lines, 3 calls)
0x800b63c        function_800b63c                                   Unidentified (15 lines, 5 calls)
0x800b690        function_800b690                                   Unidentified (9 lines, 3 calls)
0x800b6b8        wrap_BK4829_SetRSSI_0                              Wrapper around BK4829_SetRSSI
0x800b6ec        BK4829_SetTone_0                                   Configure tone generator (REG_70/71/72)
0x800b750        BK4829_SetREG_50_0                                 Set register REG_50 (0x50)
0x800b760        BK4829_SetREG_50_1                                 Set register REG_50 (0x50)
0x800b770        wrap_BK4829_SetRSSI_1                              Wrapper around BK4829_SetRSSI
0x800b7b0        BK4829_SetTone_1                                   Configure tone generator (REG_70/71/72)
0x800b814        function_800b814                                   Unidentified (6 lines, 4 calls)
0x800b838        wrap_BK4829_SetTXLevel_0                           Wrapper around BK4829_SetTXLevel
0x800b850        BK4829_SetPLL_CFG_0                                Set register PLL_CFG (0x32)
0x800b860        BK4829_SetTX_CTRL_0                                Set register TX_CTRL (0x30)
0x800b86c        BK4829_SetPLL_CFG_1                                Set register PLL_CFG (0x32)
0x800b87c        function_800b87c                                   Unidentified (54 lines, 3 calls)
0x800b8fc        function_800b8fc                                   Unidentified (38 lines, 15 calls)
0x800b9c8        function_800b9c8                                   Unidentified (4 lines, 2 calls)
0x800b9e4        function_800b9e4                                   Unidentified (9 lines, 6 calls)
0x800ba10        function_800ba10                                   Unidentified (7 lines, 2 calls)
0x800ba28        function_800ba28                                   Unidentified (7 lines, 4 calls)
0x800ba50        function_800ba50                                   Unidentified (8 lines, 6 calls)
